Date,Confirmed new cases,New deaths,New incubations,Exposed,New infectious,Infectious,Mild,WE REMOVED THIS STATE FROM GOH'S MODEL (was: SevereHome),At hospital,HospitalWillRecover,HospitalFatal,RecoveredMild,RecoveredSevere,Recovered total,Fatal
"Be careful not to change the structure of this spreadsheet, because it needs to be parsed by our app.",,,,"Number of people who currently have the virus incubating, but not yet infectious.",,"Number of people who are currently infectious (not including persons in 'recovering', 'hospitalized', etc.)","Recovering, mild symptoms: Number of people who are not infectious anymore but are still experiencing mild symptoms.",Number of people who are currently not infectious anymore but are still experiencing severe symptoms but are not in hospital.,,Number of people who are currently in hospital and will later move to RecoveredSevere state.,Number of people who are currently in hospital and will later move to Fatal state.,"Number of people who have recovered, cumulative, after being in ""Mild"" state","Number of people who have recovered, cumulative, after being in a Severe state.",,"Number of people who have died, cumulative."
Also note that everything you write in this spreadsheet will be published openly on the internet!,From HS API,From HS API,"From Mikko, missing values extrapolated",Inferred assuming 5-day incubation period,Inferred assuming 5-day incubation period,Inferred assuming 5-day incubation period and 3-day infectious period,After infectious period: 4-6d from infection (ok?),3% 3 päivää sitten infectiousina olleista.,"From Mikko, missing values extrapolated",total in hospital - hospitalFatal,"inferred from later fatalities, missing values extrapolated","5d from ""mild""",very few in the beginning,,From HS API
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0
2020-02-27,1,0,23,35,0,2,0,0,0,0,0,0,0,0,0
2020-02-28,2,0,10,53,0,5,0,0,0,0,0,0,0,0,0
2020-02-29,1,0,2,85,0,10,0,0,0,0,0,0,0,0,0
2020-03-01,1,0,18,170,0,15,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,32,310,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,4,0,108,643,23,0,0,0,0,0,0,0,0,0,0
2020-03-04,5,0,150,790,10,23,0,0,0,0,0,0,0,0,0
2020-03-05,1,0,335,911,2,33,0,0,0,0,0,0,0,0,0
2020-03-06,5,0,165,1079,18,35,0,0,1,1,0,0,0,0,0
2020-03-07,7,0,153,1194,32,30,22,1,1,1,0,0,0,0,0
2020-03-08,9,0,276,1100,108,52,32,1,2,2,0,0,0,0,0
2020-03-09,16,0,265,1441,150,158,34,1,2,2,0,0,0,0,0
2020-03-10,54,0,241,1829,335,290,29,1,3,2,1,0,0,0,0
2020-03-11,75,0,506,2029,165,593,50,2,4,3,1,0,0,0,0
2020-03-12,57,0,541,2246,153,650,153,5,5,4,1,7,0,7,0
2020-03-13,28,0,476,2458,276,653,281,9,6,5,1,18,0,18,0
2020-03-14,26,0,482,2434,265,594,575,18,7,6,1,29,0,29,0
2020-03-15,47,0,453,2469,241,694,631,20,11,9,1,39,0,39,0
2020-03-16,45,0,482,2575,506,782,633,20,15,12,3,56,0,56,0
2020-03-17,41,0,576,2699,541,1012,576,18,20,16,5,107,0,107,0
2020-03-18,86,0,582,2770,476,1288,673,21,22,18,7,201,0,201,0
2020-03-19,92,1,606,2723,482,1523,759,23,25,20,9,392,0,392,1
2020-03-20,81,0,524,2147,453,1499,982,30,30,24,11,603,0,603,1
2020-03-21,82,0,435,1565,482,1411,1249,39,33,26,13,814,0,814,1
2020-03-22,77,0,524,1483,576,1417,1477,46,43,34,17,1006,0,1006,1
2020-03-23,82,0,682,1641,582,1511,1454,45,50,40,17,1230,0,1231,1
2020-03-24,98,0,688,1894,606,1640,1369,42,73,58,19,1483,1,1484,1
2020-03-25,99,2,853,2747,524,1764,1374,43,82,66,20,1810,1,1811,3
2020-03-26,103,2,906,3653,435,1712,1466,45,96,77,25,2227,1,2228,5
2020-03-27,89,2,1165,4294,524,1565,1591,49,108,86,27,2719,2,2721,7
2020-03-28,74,2,435,4047,682,1483,1711,53,112,90,22,3204,2,3206,9
2020-03-29,58,2,624,3983,688,1641,1661,51,134,107,27,3660,3,3663,11
2020-03-30,116,2,1224,4354,853,1894,1518,47,143,114,29,4118,4,4122,13
2020-03-31,117,4,1165,4613,906,2223,1439,44,137,110,27,4607,6,4612,17
2020-04-01,145,0,747,4195,1165,2447,1592,49,159,127,32,5137,7,5144,17
2020-04-02,154,2,859,4619,435,2924,1837,57,160,128,32,5707,9,5716,19
2020-04-03,198,1,376,4371,624,2506,2156,67,180,144,36,6261,11,6272,20
2020-04-04,74,5,441,3588,1224,2224,2374,73,187,150,37,6767,14,6781,25
2020-04-05,106,2,465,2888,1165,2283,2836,88,209,167,42,7246,17,7263,27
2020-04-06,208,0,676,2817,747,3013,2431,75,228,182,46,7777,20,7797,27
2020-04-07,198,7,1006,2964,859,3136,2157,67,231,185,46,8389,26,8415,34
2020-04-08,127,6,741,3329,376,2771,2215,68,239,191,48,9108,32,9140,40
2020-04-09,146,2,694,3582,441,1982,2923,90,244,195,49,9899,39,9938,42
2020-04-10,64,6,724,3841,465,1676,3042,94,236,189,47,10845,46,10891,48
2020-04-11,75,1,324,3489,676,1282,2688,83,235,188,47,11655,55,11710,49
2020-04-12,79,7,371,2854,1006,1582,1923,59,235,188,47,12374,64,12439,56
2020-04-13,115,3,859,2972,741,2147,1626,50,230,184,46,13112,75,13187,59
2020-04-14,171,5,659,2937,694,2423,1244,38,232,186,46,14087,85,14171,64
2020-04-15,126,8,718,2931,724,2441,1535,47,226,181,45,15101,96,15197,72
2020-04-16,118,3,641,3248,324,2159,2083,64,215,172,43,15996,108,16104,75
2020-04-17,123,7,571,3448,371,1742,2350,73,208,166,42,16637,121,16758,82
2020-04-18,55,8,447,3036,859,1419,2368,73,199,159,40,17179,135,17314,90
2020-04-19,63,4,418,2795,659,1554,2094,65,192,154,38,17594,150,17744,94
2020-04-20,146,4,753,2830,718,1889,1690,52,209,167,42,18105,166,18272,98
2020-04-21,112,43,859,3048,641,2236,1376,43,202,162,40,18799,183,18983,141
2020-04-22,122,8,618,3095,571,2018,1507,47,199,159,40,19583,201,19783,149
2020-04-23,109,23,488,3136,447,1930,1832,57,206,165,41,20372,218,20590,172
2020-04-24,97,5,276.0,2994,418,1659,2169,67,199,159,40,21070,235,21306,177
2020-04-25,76,9,382,2623,753,1436,1957,61,190,152,38,21633,253,21886,186
2020-04-26,71,4,341,2105,859,1618,1872,58,189,151,38,22092,270,22362,190
2020-04-27,128,3,753,2240,618,2030,1609,50,187,150,37,22595,286,22881,193
2020-04-28,146,6,700,2452,488,2230,1393,43,200,160,40,23206,303,23509,199
2020-04-29,104,7,582,2758,276.0,1965,1569,49,208,166,42,23929,320,24248,206
2020-04-30,83,5,550,2926,382,1382,1969,61,187,150,37,24581,335,24916,211
2020-05-01,47,7,550,3135,341,1146,2163,67,185,148,37,25205,350,25555,218
2020-05-02,65,2,550,2932,753,999.0,1906,59,182,146,36,25741,365,26106,220
2020-05-03,59,10,550,2782,700,1476,1341,41,185,148,37,26206,379,26585,230
2020-05-04,112,10,550,2750,582,1794,1112,34,197,158,39,26729,394,27123,240
2020-05-05,58,6,550,2750,550,2035,969,30,195,156,39,27385,409,27794,246
2020-05-06,128,6,550,2750,550,1832,1432,44,188,150,38,28106,423,28530,252
2020-05-07,119,3,550,2750,550,1682,1740,54,174,139,35,28742,438,29180,255
2020-05-08,99,5,550,2750,550,1650,1974,61,169,135,34,29188,453,29641,260
2020-05-09,112,5,550,2750,550,1650,1777,55,161,129,32,29559,467,30026,265
2020-05-10,73,2,550,2750,550,1650,1632,50,162,130,32,29882,480,30362,267
,,,,,,,,,,,,,,,
It is safe to add anything after this line. Parsing ends when the first invalid date (this text) is encountered. Do not add date lines unless they have all the yellow values!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
≤,,,,,,,,,,,,,,,
